No,Tanggal Putusan,Tahun,Nama Debitur,Area,PN,Sektor,Tbk,Value,Disclosed,K Separatis,K Preferen,K Konkuren,
324,4/21/2025,2025,PT. Xiongji International IMP & EXP Group,Perdagangan internasional (impor & ekspor),Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Disclosed,,Rp4.823.127,Rp12.767.679.949,
325,10/2/2025,2025,PT Pelayaran Samudera Rizqi,Jasa pelayaran dan angkutan laut,Jakarta Pusat,Transportasi,Bukan Tbk,,Disclosed,Rp177.533.158.326,Rp202.075.000,Rp36.804.049.322,
326,12/8/2025,2025,PT ENERGY UTAMA ALAM MULIA,Energi  ,Jakarta Pusat,Energi,Bukan Tbk,,Undisclosed,,,,
327,7/29/2025,2025,PT. INDUSTRI KERAMIK KEMENANGAN JAYA,Toko keramik,Jakarta Pusat,Perindustrian,Bukan Tbk,,Undisclosed,,,,
328,7/7/2025,2025,PT. Aluvindo Extrusion,Produsen ekstrusi aluminium,Surabaya,Perindustrian,Bukan Tbk,,Undisclosed,,,,
329,2/10/2025,2025,PT Indofarma Global Medika,Distribusi Farmasi dan Alat Kesehatan,Jakarta Pusat,Kesehatan,Bukan Tbk,,Disclosed,Rp93.528.715.454,,Rp1.467.391.192.092,
330,6/30/2025,2025,PT. SRIMURNI SURABAYA,Perusahaan Kontraktor Konstruksi,Surabaya,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
331,5/19/2025,2025,"PT DJASA UBERSAKTI, Tbk",Perusahaan konstruksi swasta,Jakarta Pusat,Infrastruktur,Tbk,,Undisclosed,,,,
332,4/23/2025,2025,PT PIONEER KREASI, IT System Integrator,Jakarta Pusat,Teknologi,Bukan Tbk,,Undisclosed,,,,
333,5/28/2025,2025,PT MAISKA BHUMI SEMESTA,Perkebunan kelapa sawit,Jakarta Pusat,Bahan baku,Bukan Tbk,,Undisclosed,,,,
334,6/30/2025,2025,PT CAKRAWALA SINAR MULIA,"Jasa, perdagangan, atau logistik",Jakarta Pusat,Transportasi,Bukan Tbk,,Disclosed,Rp410.620.512.704,,Rp18.820.000.000,
335,6/25/2025,2025,PT PILAR PUTRA MAHAKAM,Jasa transportasi laut dan logistik,Jakarta Pusat,Transportasi,Bukan Tbk,,Disclosed,Rp4.267.176.298,,Rp16.316.710.362,
336,11/6/2025,2025,PT. Jandwik Nol Enam,"Asuransi umum dan asuransi jiwa, termasuk layanan berbasis syariah",Makassar,Keuangan,Bukan Tbk,,Disclosed,,,Rp433.130.000,
337,12/18/2025,2025,PT LAUTAN SAKTI JAYA,Produksi dan ekspor seafood beku (frozen seafood),Surabaya,Bahan baku,Bukan Tbk,,Undisclosed,,,,
338,6/30/2025,2025,PT JEBUS MAJU,Pabrik serta pemasok veneer dan triplek/kayu lapis,Medan,Bahan baku,Bukan Tbk,,Disclosed,Rp19.683.855.407,,Rp2.148.620.849,
339,7/15/2025,2025,PT Kurnia Parahyangan Sejahtera,"Jasa dan manajemen, dengan fokus pada komunikasi lintas digital, data kreasi, serta layanan manajemen bisnis",Jakarta Pusat,Teknologi,Bukan Tbk,,Undisclosed,,,,
340,2/28/2025,2025,PT. ARGO SANJOYO ADHITAMA,Perusahaan kontraktor dan jasa teknik,Surabaya,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
341,1/2/2024,2024,PT Mesco Sarana Nusantara,Perdagangan & distribusi produk konsumer,Jakarta Pusat,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
342,1/3/2024,2024,PT Cahaya Berlian Arbas,Industri & perdagangan material industri,Medan Kota,Perindustrian,Bukan Tbk,,Undisclosed,,,,
343,1/4/2024,2024,PT PANCAPRIMA EKABROTHERS,Industri garmen & konveksi ekspor,Jakarta Pusat,Perindustrian,Bukan Tbk,,Undisclosed,,,,
344,1/4/2024,2024,CV PERWIRA KARYA,Jasa konstruksi & pengadaan,Semarang,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
345,1/5/2024,2024,PT INDO ENERGY SOLUTION,Solusi energi & jasa teknik migas,Semarang,Energi,Bukan Tbk,,Undisclosed,,,,
346,1/8/2024,2024,PT MAHA FATIH INDONESIA,Jasa & perdagangan umum,Jakarta Pusat,Konsumen Non Primer,Bukan Tbk,,Undisclosed,,,,
347,1/11/2024,2024,PT HWASEUNG NETWORKS INDONESIA,Industri manufaktur (PMA Korea),Jakarta Pusat,Perindustrian,Bukan Tbk,,Undisclosed,,,,
348,1/11/2024,2024,PT REKA RUMANDA AGUNG ABADI,Jasa konstruksi & logistik proyek,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
349,1/11/2024,2024,PT Gunawan Fajar,Jasa & perdagangan umum,Surabaya,Konsumen Non Primer,Bukan Tbk,,Undisclosed,,,,
350,1/12/2024,2024,PT Visi Media Asia Tbk,"Media penyiaran — induk tvOne, ANTV, VIVA.co.id",Jakarta Pusat,Konsumen Non Primer,Tbk,,Undisclosed,,,,
351,1/12/2024,2024,PT Cakrawala Andalas Televisi,Stasiun televisi nasional hiburan & berita,Jakarta Pusat,Konsumen Non Primer,Bukan Tbk,,Undisclosed,,,,
352,1/12/2024,2024,PT Lativi Mediakarya,Stasiun televisi nasional berita & olahraga,Jakarta Pusat,Konsumen Non Primer,Bukan Tbk,,Undisclosed,,,,
353,1/12/2024,2024,PT Intermedia Capital Tbk,Investasi & holding media televisi,Jakarta Pusat,Konsumen Non Primer,Tbk,,Undisclosed,,,,
354,1/15/2024,2024,PT Maja Shafira,Industri karet & lateks,Jakarta Pusat,Perindustrian,Bukan Tbk,,Undisclosed,,,,
355,1/15/2024,2024,PT Mitra Niaga Andalan,Perdagangan & distribusi niaga,Surabaya,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
356,1/16/2024,2024,PT Raffalindotama,Jasa teknologi & konsultansi IT,Jakarta Pusat,Teknologi,Bukan Tbk,,Undisclosed,,,,
357,1/16/2024,2024,PT Lintang Daya Selaras,Perdagangan & distribusi umum,Jakarta Pusat,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
358,1/16/2024,2024,PT Bumi Buton Delta Megah,Pertambangan aspal & mineral (Buton),Makassar,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
359,1/17/2024,2024,PT INETINDO INFOCOM,Jasa internet & telekomunikasi (ISP),Jakarta Pusat,Teknologi,Bukan Tbk,,Undisclosed,,,,
360,1/18/2024,2024,PT INET GLOBAL INDO,Jasa internet & telekomunikasi (ISP),Jakarta Pusat,Teknologi,Bukan Tbk,,Undisclosed,,,,
361,1/18/2024,2024,PT Inet Global Indo,Jasa internet & telekomunikasi (ISP),Jakarta Pusat,Teknologi,Bukan Tbk,,Undisclosed,,,,
362,1/18/2024,2024,PT ANDINI AGRO LOKA,Agribisnis & pertanian,Jakarta Pusat,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
363,1/18/2024,2024,PT Armada Hada Graha,Properti & pengelolaan gedung,Semarang,Properti & Real Estate,Bukan Tbk,,Undisclosed,,,,
364,1/19/2024,2024,PT Hen Jaya,Perdagangan & distribusi umum,Jakarta Pusat,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
365,1/19/2024,2024,PT Bestari Putra,Perdagangan & distribusi umum,Jakarta Pusat,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
366,1/19/2024,2024,PT Anugerah Tujuh Sejati,Perdagangan & distribusi alat kesehatan / umum,Surabaya,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
367,1/22/2024,2024,PT MULTISARI LENGGANGJAYA,Produksi & distribusi produk pangan,Jakarta Pusat,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
368,1/22/2024,2024,PT Castell Persada Propertindo,Pengembang properti,Makassar,Properti & Real Estate,Bukan Tbk,,Undisclosed,,,,
369,1/23/2024,2024,PT Solusi Makanan Indonesia,Pengolahan & distribusi makanan siap saji,Jakarta Pusat,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
370,1/24/2024,2024,PT RANA GLOBAL,Perdagangan & distribusi umum,Jakarta Pusat,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
371,1/25/2024,2024,PT MALEO PRIVATE EQUITY,Private equity & investasi modal ventura,Jakarta Pusat,Keuangan,Bukan Tbk,,Undisclosed,,,,
372,1/25/2024,2024,PT Mentari Laju Jaya Usaha,Perdagangan & distribusi produk konsumer,Jakarta Pusat,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
373,1/29/2024,2024,PT Putra Radhika Investama,Investasi & holding keuangan,Jakarta Pusat,Keuangan,Bukan Tbk,,Undisclosed,,,,
374,1/29/2024,2024,PT Investree Radhika Jaya,Fintech lending (P2P lending),Jakarta Pusat,Keuangan,Bukan Tbk,,Undisclosed,,,,
375,1/31/2024,2024,PT GRAHA INFORMATIKA NUSANTARA,Jasa teknologi informasi & infrastruktur IT,Jakarta Pusat,Teknologi,Bukan Tbk,,Undisclosed,,,,
376,2/1/2024,2024,PT TForce Indonesia Jaya,Jasa teknologi & solusi digital,Jakarta Pusat,Teknologi,Bukan Tbk,,Undisclosed,,,,
377,2/1/2024,2024,PT Gemilang Karunia Tama,Perdagangan & distribusi barang konsumen,Jakarta Pusat,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
378,2/5/2024,2024,PT MANDALA SETIA,Perdagangan & distribusi umum,Surabaya,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
379,2/5/2024,2024,PT Adei Crumb Rubber Industry,Industri karet olahan (crumb rubber),Medan Kota,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
380,2/6/2024,2024,PT Yasa Patria Perkasa,Jasa konstruksi & engineering,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
381,2/12/2024,2024,PT Cahaya Mas Indotama,Perdagangan & distribusi umum,Jakarta Pusat,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
382,2/12/2024,2024,PT SEJAHTERA ALAM NUSANTARA,Perdagangan & distribusi komoditas konsumer,Semarang,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
383,2/13/2024,2024,CV Anugrah Alam Lestari,Perdagangan & distribusi umum,Jakarta Pusat,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
384,2/15/2024,2024,PT AGROWISATA GIANYAR BERSEMI,Agrowisata & pariwisata Bali,Surabaya,Konsumen Non Primer,Bukan Tbk,,Undisclosed,,,,
385,2/15/2024,2024,PT Darmi Bersaudara,Perdagangan & distribusi produk konsumer,Surabaya,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
386,2/19/2024,2024,PT Padil Jaya Pertama,Perdagangan & distribusi umum,Surabaya,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
387,2/20/2024,2024,PT ALTA MEDIKA INDONESIA,Jasa & alat kesehatan / klinik medis,Jakarta Pusat,Kesehatan,Bukan Tbk,,Undisclosed,,,,
388,2/20/2024,2024,PT AVERY DENNISON INDONESIA,"Industri label, kemasan & material adhesif",Jakarta Pusat,Perindustrian,Bukan Tbk,,Undisclosed,,,,
389,2/20/2024,2024,PT SINAR ARENGKA SETIAMAJU,Jasa konstruksi & pengadaan material,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
390,2/20/2024,2024,CV ADR,Jasa konstruksi & pengadaan,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
391,2/20/2024,2024,PT CAHAYA CITRA ALUMINDO,Industri aluminium & produk logam,Surabaya,Perindustrian,Bukan Tbk,,Undisclosed,,,,
392,2/21/2024,2024,PT AMEN MULIA,Perdagangan & distribusi umum,Jakarta Pusat,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
393,2/21/2024,2024,PT Dayak Membangun Pratama,Agribisnis & pertanian (Kalimantan),Jakarta Pusat,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
394,2/21/2024,2024,PT HUTAN ALAM LESTARI,Pengelolaan hutan & hasil kayu,Medan Kota,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
395,2/22/2024,2024,PT KELSRI,Kontraktor teknik & sipil,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
396,2/22/2024,2024,PT ONSU PANGAN PERKASA,Industri makanan & minuman (merek Onsu),Jakarta Pusat,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
397,2/22/2024,2024,PT Bumi Merapi Energi,Energi & pertambangan (batubara/panas bumi),Jakarta Pusat,Energi,Bukan Tbk,,Undisclosed,,,,
398,2/22/2024,2024,PT SUMBER TIRTO WINDU,Distribusi & perdagangan air minum & minuman,Semarang,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
399,2/23/2024,2024,PT Atakana Company,Perdagangan & distribusi umum,Medan Kota,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
400,2/27/2024,2024,PT RASS MANDIRI UTAMA,Perdagangan & distribusi umum,Jakarta Pusat,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
401,2/27/2024,2024,PT Menara Depok Asri,Pengembang properti gedung & tower,Jakarta Pusat,Properti & Real Estate,Bukan Tbk,,Undisclosed,,,,
402,2/27/2024,2024,PT Mitralanggeng Prama Konstruksi,Jasa konstruksi & teknik sipil,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
403,2/28/2024,2024,METALLURGICAL CORPORATION OF CHINA LTD (INDONESIA),EPC & konstruksi metalurgi (kontraktor asing),Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
404,2/28/2024,2024,PT Cahaya Lentera Perkasa,Perdagangan & distribusi umum,Jakarta Pusat,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
405,2/28/2024,2024,PT Karya CiPTa Agung Persada,Jasa konstruksi & pengembangan,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
406,2/28/2024,2024,PT Pabrik Kertas Indonesia (Pakerin),Industri kertas & pulp,Surabaya,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
407,2/29/2024,2024,PT FAJAR INDAH CAKRA CEMERLANG (PT FICC),Jasa konstruksi & pengadaan teknik,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
408,3/1/2024,2024,PT Universal Broker Indonesia Sekuritas,Perusahaan sekuritas & perdagangan efek,Jakarta Pusat,Keuangan,Bukan Tbk,,Undisclosed,,,,
409,3/1/2024,2024,PT Indofarma Tbk,Industri farmasi & produk kesehatan (BUMN),Jakarta Pusat,Kesehatan,Tbk,,Undisclosed,,,,
410,3/4/2024,2024,PT Pacific Eastern Coconut Utama,"Industri pengolahan kelapa (VCO, dll)",Jakarta Pusat,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
411,3/5/2024,2024,PT FREEPORT INDONESIA,"Pertambangan tembaga, emas & perak (Papua)",Jakarta Pusat,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
412,3/6/2024,2024,PT INHIL SARIMAS KELAPA,Pengolahan kelapa & produk turunannya,Medan Kota,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
413,3/7/2024,2024,PT Metro Permata Raya,Perdagangan & distribusi umum,Jakarta Pusat,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
414,3/7/2024,2024,PT Maruszama Puspita Internasional,Perdagangan & distribusi internasional,Jakarta Pusat,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
415,3/13/2024,2024,PT WILLIAMS INTERNASIONAL JAYA,Perdagangan & distribusi internasional,Jakarta Pusat,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
416,3/13/2024,2024,PT MARIZARASA SARIMURNI,Industri makanan & katering,Jakarta Pusat,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
417,3/14/2024,2024,PT INDO BHALI MAKMURJAYA,Industri & distribusi makanan,Surabaya,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
418,3/14/2024,2024,PT SEJAHTERA ALAM NUSANTARA,Perdagangan & distribusi komoditas konsumer,Semarang,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
419,3/15/2024,2024,PT MULTISARI LANGGENGJAYA,Produksi & distribusi produk pangan,Jakarta Pusat,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
420,3/15/2024,2024,PT Gemilang Karunia Tama,Perdagangan & distribusi barang konsumen,Jakarta Pusat,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
421,3/18/2024,2024,PT Coalindo Adhi Perkasa,Perdagangan & jasa pertambangan batu bara,Jakarta Pusat,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
422,3/18/2024,2024,PT KANA VIDEX PROPERTI,Pengembang properti residensial,Semarang,Properti & Real Estate,Bukan Tbk,,Undisclosed,,,,
423,3/19/2024,2024,CV BAJA INTI ABADI,Perdagangan & industri baja,Surabaya,Perindustrian,Bukan Tbk,,Undisclosed,,,,
424,3/19/2024,2024,PT JAYA SHAKTI BARUTAMA,Perdagangan & jasa material konstruksi,Surabaya,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
425,3/19/2024,2024,PT LOMBOK LIMA SATU,Properti & pengembangan kawasan (Lombok),Surabaya,Properti & Real Estate,Bukan Tbk,,Undisclosed,,,,
426,3/20/2024,2024,PT Utomo Internasional,Perdagangan internasional & distribusi,Jakarta Pusat,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
427,3/20/2024,2024,PT HUTAN ALAM LESTARI,Pengelolaan hutan & hasil kayu,Medan Kota,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
428,3/25/2024,2024,PT PERSADA ALAM HIJAU,Agribisnis & pengelolaan lahan hijau,Jakarta Pusat,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
429,3/26/2024,2024,PT MUKTI SARANA ABADI,Perdagangan & jasa umum,Jakarta Pusat,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
430,3/27/2024,2024,PT SUNNY GARDEN PROPERTY,Pengembang properti & kavling,Jakarta Pusat,Properti & Real Estate,Bukan Tbk,,Undisclosed,,,,
431,3/27/2024,2024,PT PETRO ENERGI SOLUSI,Distribusi & jasa energi petroleum,Surabaya,Energi,Bukan Tbk,,Undisclosed,,,,
432,4/2/2024,2024,PT ALPHA DWI MARINE INDONESIA,Jasa maritim & transportasi laut,Jakarta Pusat,Transportasi,Bukan Tbk,,Undisclosed,,,,
433,4/2/2024,2024,PT TOTAL SOLUSI KONSTRUKSI,Jasa konstruksi umum,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
434,4/5/2024,2024,CV Indah Sari,Perdagangan & distribusi umum,Makassar,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
435,4/16/2024,2024,PT KERTA GAYA PUSAKA,Jasa logistik & pengiriman barang,Jakarta Pusat,Transportasi,Bukan Tbk,,Undisclosed,,,,
436,4/16/2024,2024,PT Perikanan Indonesia,Perikanan & pengolahan hasil laut (BUMN),Jakarta Pusat,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
437,4/16/2024,2024,PT Cocomas Indonesia,Industri produk berbasis kelapa & kakao,Jakarta Pusat,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
438,4/16/2024,2024,PT SAETI CONCRETINDO WAHANA,Industri beton pracetak & konstruksi,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
439,4/17/2024,2024,PT MARIZARASA SARIMURNI,Industri makanan & katering,Jakarta Pusat,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
440,4/17/2024,2024,PT FAJAR INDAH CAKRA CEMERLANG (PT FICC),Jasa konstruksi & pengadaan teknik,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
441,4/17/2024,2024,PT KPM OIL & GAS,Jasa & perdagangan minyak dan gas bumi,Jakarta Pusat,Energi,Bukan Tbk,,Undisclosed,,,,
442,4/18/2024,2024,PT Mitra Utama Energi,Distribusi & pengelolaan energi,Jakarta Pusat,Energi,Bukan Tbk,,Undisclosed,,,,
443,4/18/2024,2024,PT Bukaka Teknik Utama Tbk,"Engineering, Procurement & Construction (EPC)",Jakarta Pusat,Infrastruktur,Tbk,,Undisclosed,,,,
444,4/22/2024,2024,PT Waskita Karya Tbk,"Konstruksi infrastruktur besar BUMN — jalan tol, jembatan",Jakarta Pusat,Infrastruktur,Tbk,,Undisclosed,,,,
445,4/22/2024,2024,CV Sinar Agung Mulia Abadi,Jasa konstruksi & material bangunan,Semarang,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
446,4/24/2024,2024,PT MOBILINDO ARMADA CEMERLANG,Transportasi & penyewaan kendaraan,Jakarta Pusat,Transportasi,Bukan Tbk,,Undisclosed,,,,
447,4/25/2024,2024,PT TAJIMA PUTERA GARMINDO,Industri garmen & pakaian jadi,Jakarta Pusat,Perindustrian,Bukan Tbk,,Undisclosed,,,,
448,4/29/2024,2024,PT Maulana Karya Persada,Jasa konstruksi & pengadaan,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
449,02-May-24,2024,PT Widodo Makmur Unggas Tbk,Industri peternakan unggas & pakan ternak,Jakarta Pusat,Perindustrian,Tbk,,Undisclosed,,,,
450,02-May-24,2024,PT LUMAJANG SATWA,Peternakan & agribisnis unggas,Surabaya,Perindustrian,Bukan Tbk,,Undisclosed,,,,
451,03-May-24,2024,PT MINERA POWER GENERATION,Pembangkit listrik & energi,Jakarta Pusat,Energi,Bukan Tbk,,Undisclosed,,,,
452,03-May-24,2024,PT Selfinc Retailindo Indonesia,Perdagangan ritel modern,Jakarta Pusat,Konsumen Non Primer,Bukan Tbk,,Undisclosed,,,,
453,06-May-24,2024,PT Handal Aluminium Sukses,Industri aluminium & produk logam,Jakarta Pusat,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
454,06-May-24,2024,PT HUTAMA KARYA (Persero),Konstruksi BUMN — jalan tol & infrastruktur nasional,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
455,06-May-24,2024,PT TIMAS SUPLINDO,Fabrikasi & konstruksi baja lepas pantai (offshore),Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
456,07-May-24,2024,PT Jasa Tirta Luhur,Jasa pengelolaan air & infrastruktur irigasi,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
457,07-May-24,2024,PT TRANSFORMASI PLASTIK INDONESIA,Industri plastik & kemasan,Jakarta Pusat,Perindustrian,Bukan Tbk,,Undisclosed,,,,
458,07-May-24,2024,CV KURNIA JAYA GARMEN,Industri garmen & konveksi,Surabaya,Perindustrian,Bukan Tbk,,Undisclosed,,,,
459,08-May-24,2024,PT PAHALASAWIT TUMBUH SEJAHTERA,Perkebunan kelapa sawit,Jakarta Pusat,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
460,08-May-24,2024,PT CITRALOKA BUMI BEGAWAN,Perkebunan kelapa sawit,Jakarta Pusat,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
461,08-May-24,2024,PT CIPTAMAS BUMISELARAS,Perkebunan kelapa sawit,Jakarta Pusat,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
462,08-May-24,2024,PT BANGUNSAWIT JAYA SUBUR,Perkebunan kelapa sawit,Jakarta Pusat,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
463,08-May-24,2024,CV Sahabat Mitra,Jasa konstruksi & pengadaan umum,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
464,13-May-24,2024,PT Indofarma Global Medika,Distribusi produk farmasi & alkes (anak Indofarma),Jakarta Pusat,Kesehatan,Bukan Tbk,,Undisclosed,,,,
465,13-May-24,2024,CV BERKAH JAYA MANDIRI NEW 1802,Jasa konstruksi & pengadaan,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
466,15-May-24,2024,PT Sarana CiPTa Unggul,Jasa konstruksi & engineering,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
467,17-May-24,2024,PT PAN BROTHERS TBK,Industri garmen & tekstil ekspor (Grup PAN),Jakarta Pusat,Perindustrian,Tbk,,Undisclosed,,,,
468,17-May-24,2024,PT ECO SMART GARMENT INDONESIA,Industri garmen ramah lingkungan (anak PAN Brothers),Jakarta Pusat,Perindustrian,Bukan Tbk,,Undisclosed,,,,
469,17-May-24,2024,PT PRIMA SEJATI SEJAHTERA,Industri garmen ekspor (anak PAN Brothers),Jakarta Pusat,Perindustrian,Bukan Tbk,,Undisclosed,,,,
470,17-May-24,2024,PT Pancaprima Ekabrothers,Industri garmen & konveksi ekspor,Jakarta Pusat,Perindustrian,Bukan Tbk,,Undisclosed,,,,
471,20-May-24,2024,PT SAFARINDO INTERNUSA,Perdagangan & distribusi produk industri,Jakarta Pusat,Perindustrian,Bukan Tbk,,Undisclosed,,,,
472,21-May-24,2024,PT BANGUN PANCA SARANA ABADI,Jasa konstruksi & pengadaan,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
473,22-May-24,2024,PT Karya Ardi Prestasi,Jasa konstruksi & pengembangan,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
474,22-May-24,2024,PT Pitik Digital Indonesia,Platform teknologi digital (agritech/startup),Jakarta Pusat,Teknologi,Bukan Tbk,,Undisclosed,,,,
475,28-May-24,2024,PT GO CELL INTERNATIONAL,Perdagangan & jasa telekomunikasi / gadget,Jakarta Pusat,Teknologi,Bukan Tbk,,Undisclosed,,,,
476,28-May-24,2024,PT TRI BANYAN TIRTA,Produksi AMDK & minuman (merek ALTO & TOTAL),Jakarta Pusat,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
477,31-May-24,2024,PT Golden Harvest Cocoa Indonesia,Industri pengolahan kakao & cokelat,Jakarta Pusat,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
478,31-May-24,2024,PT Golden Harvest Cocoa Indonesia,Industri pengolahan kakao & cokelat,Jakarta Pusat,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
479,31-May-24,2024,PT WIJAYA KARYA BITUMEN,Industri bitumen & aspal (anak usaha WIKA),Makassar,Energi,Bukan Tbk,,Undisclosed,,,,
480,03-Jun-24,2024,PT Tribara Karya,Jasa konstruksi umum,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
481,03-Jun-24,2024,PT Era Bangun Telecomindo,Teknologi telekomunikasi & media,Jakarta Pusat,Konsumen Non Primer,Bukan Tbk,,Undisclosed,,,,
482,04-Jun-24,2024,PT BANYU TELAGA MAS,Jasa pengelolaan air & infrastruktur,Surabaya,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
483,05-Jun-24,2024,PT CIPTA SAWITTA JAYA CEMERLANG,Perdagangan & distribusi produk perkebunan,Medan Kota,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
484,06-Jun-24,2024,PT STANDAR BETON INDONESIA,Produksi beton & precast material konstruksi,Surabaya,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
485,06-Jun-24,2024,PT SEMESTA JAYA ABADI,Jasa konstruksi & teknik,Surabaya,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
486,06-Jun-24,2024,PT UNION TALI PLASTIK,Industri tali plastik & produk polimer,Medan Kota,Perindustrian,Bukan Tbk,,Undisclosed,,,,
487,07-Jun-24,2024,PT Trihasco Utama,Jasa konstruksi teknik,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
